system:index,date,rainfall,.geo
19800101,1980-01-01,3.1254813075065613E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800102,1980-01-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800103,1980-01-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800104,1980-01-04,4.198942333459854E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800105,1980-01-05,9.139599278569221E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800106,1980-01-06,0.0011049853637814522,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800107,1980-01-07,6.448682397603989E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800108,1980-01-08,5.788225680589676E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800109,1980-01-09,2.4226494133472443E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800110,1980-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800111,1980-01-11,1.774914562702179E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800112,1980-01-12,1.9725412130355835E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800113,1980-01-13,4.1503459215164185E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800114,1980-01-14,9.378418326377869E-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800115,1980-01-15,9.313225746154785E-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800116,1980-01-16,2.1420419216156006E-8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800117,1980-01-17,4.95128333568573E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800118,1980-01-18,3.2738596200942993E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800119,1980-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800120,1980-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800121,1980-01-21,9.313225746154785E-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800122,1980-01-22,2.1420419216156006E-8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800123,1980-01-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800124,1980-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800125,1980-01-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800126,1980-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800127,1980-01-27,1.862645149230957E-9,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800128,1980-01-28,4.284083843231201E-8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800129,1980-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800130,1980-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800131,1980-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800201,1980-02-01,1.0259449481964111E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800202,1980-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800203,1980-02-03,7.846392691135406E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800204,1980-02-04,2.7846544981002808E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800205,1980-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800206,1980-02-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800207,1980-02-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800208,1980-02-08,1.2767501175403595E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800209,1980-02-09,7.087178528308868E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800210,1980-02-10,1.2625008821487427E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800211,1980-02-11,6.6962093114852905E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800212,1980-02-12,2.603977918624878E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800213,1980-02-13,3.032386302947998E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800214,1980-02-14,1.2861564755439758E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800215,1980-02-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800216,1980-02-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800217,1980-02-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800218,1980-02-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800219,1980-02-19,4.76837158203125E-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800220,1980-02-20,6.211921572685242E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800221,1980-02-21,4.190951585769653E-8,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800222,1980-02-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800223,1980-02-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800224,1980-02-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800225,1980-02-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800226,1980-02-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800227,1980-02-27,1.862645149230957E-9,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800228,1980-02-28,5.895271897315979E-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800229,1980-02-29,2.2520311176776886E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800301,1980-03-01,9.492142125964165E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800302,1980-03-02,1.989305019378662E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800303,1980-03-03,6.038695573806763E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800304,1980-03-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800305,1980-03-05,4.659965634346008E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800306,1980-03-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800307,1980-03-07,4.765130579471588E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800308,1980-03-08,3.237565979361534E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800309,1980-03-09,1.8997583538293839E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800310,1980-03-10,0.0017133094370365143,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800311,1980-03-11,0.0017337147146463394,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800312,1980-03-12,2.995021641254425E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800313,1980-03-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800314,1980-03-14,5.774609744548798E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800315,1980-03-15,5.341041833162308E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800316,1980-03-16,4.785405471920967E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800317,1980-03-17,0.001342189498245716,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800318,1980-03-18,5.574878305196762E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800319,1980-03-19,1.7947517335414886E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800320,1980-03-20,6.284564733505249E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800321,1980-03-21,9.313225746154785E-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800322,1980-03-22,9.71369445323944E-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800323,1980-03-23,6.845220923423767E-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800324,1980-03-24,3.257766366004944E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800325,1980-03-25,1.4118850231170654E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800326,1980-03-26,3.0289962887763977E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800327,1980-03-27,1.9127875566482544E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800328,1980-03-28,1.9297748804092407E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800329,1980-03-29,0.002605370245873928,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800330,1980-03-30,0.007552660070359707,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800331,1980-03-31,0.006680138409137726,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800401,1980-04-01,0.009038112126290798,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800402,1980-04-02,0.004411214031279087,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800403,1980-04-03,0.006099168211221695,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800404,1980-04-04,0.006623264402151108,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800405,1980-04-05,0.007271326147019863,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800406,1980-04-06,0.01422807015478611,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800407,1980-04-07,0.006277613341808319,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800408,1980-04-08,0.009203867986798286,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800409,1980-04-09,0.004828419536352158,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800410,1980-04-10,0.0012285355478525162,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800411,1980-04-11,0.0029295003041625023,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800412,1980-04-12,0.0028814561665058136,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800413,1980-04-13,0.002887928858399391,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800414,1980-04-14,0.0023958589881658554,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800415,1980-04-15,0.0018158145248889923,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800416,1980-04-16,0.006299763917922974,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800417,1980-04-17,0.009897803887724876,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800418,1980-04-18,0.002860071137547493,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800419,1980-04-19,0.0023562517017126083,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800420,1980-04-20,0.004756303504109383,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800421,1980-04-21,0.004374803975224495,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800422,1980-04-22,0.0013796407729387283,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800423,1980-04-23,0.0011267177760601044,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800424,1980-04-24,0.00415150448679924,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800425,1980-04-25,0.0059699397534132,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800426,1980-04-26,0.005438149906694889,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800427,1980-04-27,0.0035083619877696037,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800428,1980-04-28,0.009398049674928188,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800429,1980-04-29,0.00600613746792078,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800430,1980-04-30,0.009092424064874649,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800501,1980-05-01,0.005090956576168537,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800502,1980-05-02,0.011261649429798126,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800503,1980-05-03,0.006355831399559975,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800504,1980-05-04,0.002198517322540283,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800505,1980-05-05,0.002271261066198349,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800506,1980-05-06,0.0014656111598014832,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800507,1980-05-07,0.002694185823202133,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800508,1980-05-08,0.006755106151103973,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800509,1980-05-09,0.001439455896615982,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800510,1980-05-10,0.0023622363805770874,"{""type"":""MultiPoint"",""coordinates"":[]}"
