system:index,date,temperature,.geo
19800101,1980-01-01,299.4015808105469,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800102,1980-01-02,298.7659912109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800103,1980-01-03,298.7951354980469,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800104,1980-01-04,299.18121337890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800105,1980-01-05,299.0838928222656,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800106,1980-01-06,299.0408020019531,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800107,1980-01-07,299.5137634277344,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800108,1980-01-08,299.5000305175781,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800109,1980-01-09,299.1786804199219,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800110,1980-01-10,298.9131774902344,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800111,1980-01-11,298.9154357910156,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800112,1980-01-12,299.1776123046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800113,1980-01-13,299.14111328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800114,1980-01-14,298.97845458984375,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800115,1980-01-15,299.26519775390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800116,1980-01-16,299.2519836425781,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800117,1980-01-17,299.4336242675781,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800118,1980-01-18,299.3686828613281,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800119,1980-01-19,299.4374084472656,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800120,1980-01-20,299.35443115234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800121,1980-01-21,299.2735900878906,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800122,1980-01-22,299.2077331542969,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800123,1980-01-23,299.05560302734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800124,1980-01-24,299.11505126953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800125,1980-01-25,299.07879638671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800126,1980-01-26,299.1699523925781,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800127,1980-01-27,299.2964782714844,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800128,1980-01-28,299.0773620605469,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800129,1980-01-29,298.9698791503906,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800130,1980-01-30,299.0107421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800131,1980-01-31,298.9561767578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800201,1980-02-01,299.4109191894531,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800202,1980-02-02,299.9631042480469,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800203,1980-02-03,300.1082763671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800204,1980-02-04,300.1809387207031,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800205,1980-02-05,299.9523010253906,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800206,1980-02-06,299.4775085449219,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800207,1980-02-07,299.9294738769531,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800208,1980-02-08,300.1575012207031,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800209,1980-02-09,300.06646728515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800210,1980-02-10,300.0933837890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800211,1980-02-11,299.94378662109375,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800212,1980-02-12,300.2708435058594,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800213,1980-02-13,300.3050842285156,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800214,1980-02-14,299.91973876953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800215,1980-02-15,299.93218994140625,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800216,1980-02-16,299.3700256347656,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800217,1980-02-17,299.5598449707031,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800218,1980-02-18,299.8238830566406,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800219,1980-02-19,300.3022155761719,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800220,1980-02-20,300.3758239746094,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800221,1980-02-21,300.5333557128906,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800222,1980-02-22,300.2845153808594,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800223,1980-02-23,300.4461975097656,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800224,1980-02-24,299.9532470703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800225,1980-02-25,300.74676513671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800226,1980-02-26,300.3179626464844,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800227,1980-02-27,300.40673828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800228,1980-02-28,300.1381530761719,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800229,1980-02-29,300.48358154296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800301,1980-03-01,300.2716369628906,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800302,1980-03-02,300.9653625488281,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800303,1980-03-03,300.784423828125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800304,1980-03-04,300.59967041015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800305,1980-03-05,300.5350036621094,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800306,1980-03-06,300.8775939941406,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800307,1980-03-07,301.1136779785156,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800308,1980-03-08,300.904541015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800309,1980-03-09,301.1419372558594,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800310,1980-03-10,300.9522705078125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800311,1980-03-11,300.2600402832031,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800312,1980-03-12,300.5903015136719,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800313,1980-03-13,301.19451904296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800314,1980-03-14,300.8099060058594,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800315,1980-03-15,301.5469665527344,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800316,1980-03-16,300.9046630859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800317,1980-03-17,300.76654052734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800318,1980-03-18,300.8594970703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800319,1980-03-19,301.4532775878906,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800320,1980-03-20,301.3954162597656,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800321,1980-03-21,301.6951599121094,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800322,1980-03-22,301.2480163574219,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800323,1980-03-23,301.0261535644531,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800324,1980-03-24,301.3584289550781,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800325,1980-03-25,301.2872314453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800326,1980-03-26,301.451904296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800327,1980-03-27,301.5613708496094,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800328,1980-03-28,301.50701904296875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800329,1980-03-29,300.8760681152344,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800330,1980-03-30,300.4259338378906,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800331,1980-03-31,300.4497985839844,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800401,1980-04-01,300.3509216308594,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800402,1980-04-02,300.4573669433594,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800403,1980-04-03,300.3551940917969,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800404,1980-04-04,300.352783203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800405,1980-04-05,300.7218933105469,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800406,1980-04-06,300.2165222167969,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800407,1980-04-07,299.95916748046875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800408,1980-04-08,300.3483581542969,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800409,1980-04-09,301.1699523925781,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800410,1980-04-10,301.8668518066406,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800411,1980-04-11,301.7770080566406,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800412,1980-04-12,301.99505615234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800413,1980-04-13,301.47674560546875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800414,1980-04-14,301.5497131347656,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800415,1980-04-15,301.8852233886719,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800416,1980-04-16,301.02789306640625,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800417,1980-04-17,300.6068115234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
19800418,1980-04-18,300.6413269042969,"{""type"":""MultiPoint"",""coordinates"":[]}"
